"Method","Time (ms)","Own Time (ms)"
"java.util.concurrent.ForkJoinWorkerThread.run() ForkJoinWorkerThread.java","64950","80"
"mb.p_raffrayi.actors.impl.Actor.run() Actor.java","64869","83"
"mb.p_raffrayi.actors.impl.WorkStealingScheduler$Task.run() WorkStealingScheduler.java","64869","0"
"mb.statix.concurrent.StatixSolver.fixedpoint() StatixSolver.java","48723","50"
"mb.statix.concurrent.StatixSolver.k(IConstraint, int) StatixSolver.java","48345","59"
"mb.statix.constraints.CUser.matchOrThrow(IConstraint$CheckedCases) CUser.java","41897","25"
"mb.statix.concurrent.StatixSolver$1.caseUser(CUser) StatixSolver.java","41892","30"
"mb.statix.concurrent.StatixSolver$1.caseUser(CUser) StatixSolver.java","41882","4"
"mb.p_raffrayi.actors.impl.Actor.doInvoke(IActorInternal, Method, Object[], Action2) Actor.java","39191","1"
"java.lang.reflect.Method.invoke(Object, Object[]) Method.java","39013","149"
"mb.statix.concurrent.StatixSolver.success(IConstraint, IState$Immutable, Collection, Collection, ICompleteness$Immutable, Map, int) StatixSolver.java","38801","203"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$449.dispatch()","38062","24"
"mb.p_raffrayi.actors.impl.Actor.lambda$8(IActorInternal, Method, Object[], Action2) Actor.java","38038","0"
"mb.statix.concurrent.StatixSolver$1.caseExists(CExists) StatixSolver.java","35451","122"
"mb.statix.concurrent.StatixSolver$1.caseExists(CExists) StatixSolver.java","35451","30"
"mb.statix.constraints.CExists.matchOrThrow(IConstraint$CheckedCases) CExists.java","35451","3"
"mb.statix.concurrent.StatixSolver.solve(Iterable) StatixSolver.java","34271","49"
"mb.p_raffrayi.impl.TypeCheckerUnit._start(List) TypeCheckerUnit.java","30929","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.runIncremental(Function1, Function1, Function2, Function2) TypeCheckerUnit.java","30902","0"
"mb.statix.concurrent.AbstractTypeChecker.runSolver(ITypeCheckerContext, Optional, Optional, List) AbstractTypeChecker.java","30879","0"
"mb.statix.concurrent.AbstractTypeChecker.runSolver(ITypeCheckerContext, Optional, List) AbstractTypeChecker.java","30879","0"
"mb.statix.concurrent.UnitTypeChecker.lambda$0(IIncrementalTypeCheckerContext, List, Optional) UnitTypeChecker.java","30690","0"
"mb.statix.concurrent.UnitTypeChecker.run(IIncrementalTypeCheckerContext, List) UnitTypeChecker.java","30690","0"
"mb.statix.concurrent.UnitTypeChecker$$Lambda$698.apply(Object)","30690","0"
"org.metaborg.util.future.CompletableFuture.complete(Object, Throwable) CompletableFuture.java","24605","308"
"org.metaborg.util.future.CompletableFuture$2.handle(Object, Throwable) CompletableFuture.java","24570","181"
"org.metaborg.util.future.ICompletable.complete(Object) ICompletable.java","24303","3"
"org.metaborg.util.future.CompletableFuture$6.handle(Object, Throwable) CompletableFuture.java","23868","43"
"org.metaborg.util.future.CompletableFuture$4.handle(Object, Throwable) CompletableFuture.java","22141","44"
"org.metaborg.util.future.CompletableFuture$4$$Lambda$688.apply(Object, Object)","20534","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$1078.dispatch()","20361","8"
"mb.p_raffrayi.actors.impl.Actor.doReturn(IActorInternal, Method, ICompletable, Object, Throwable) Actor.java","20352","0"
"mb.p_raffrayi.actors.impl.Actor.lambda$9(IActorInternal, Method, ICompletable, Object, Throwable) Actor.java","20352","0"
"mb.statix.spec.RuleUtil.applyOrderedOne(IUniDisunifier$Immutable, List, List, IConstraint, ApplyMode, ApplyMode$Safety) RuleUtil.java","20067","21"
"mb.statix.spec.RuleUtil.applyOrdered(IUniDisunifier$Immutable, List, List, IConstraint, ApplyMode, ApplyMode$Safety, boolean) RuleUtil.java","20040","157"
"mb.statix.spec.RuleUtil.apply(IUniDisunifier$Immutable, Rule, List, IConstraint, ApplyMode, ApplyMode$Safety) RuleUtil.java","18538","0"
"mb.statix.concurrent.StatixSolver.lambda$5(IConstraint, StatixSolver$K, Object, Throwable) StatixSolver.java","17781","9"
"mb.statix.concurrent.StatixSolver$$Lambda$934.apply(Object, Object)","17781","0"
"mb.statix.concurrent.StatixSolver.solveK(StatixSolver$K, Object, Throwable) StatixSolver.java","17736","65"
"org.metaborg.util.future.CompletableFuture$5.handle(Object, Throwable) CompletableFuture.java","17311","1"
"mb.statix.constraints.CConj.matchOrThrow(IConstraint$CheckedCases) CConj.java","16994","23"
"mb.statix.concurrent.StatixSolver$1.caseConj(CConj) StatixSolver.java","16971","0"
"mb.statix.concurrent.StatixSolver$1.caseConj(CConj) StatixSolver.java","16971","0"
"mb.statix.spec.ApplyRelaxed.apply(IUniDisunifier$Immutable, Rule, List, IConstraint, ApplyMode$Safety) ApplyRelaxed.java","16309","338"
"org.metaborg.util.future.CompletedFuture.whenComplete(CheckedAction2) CompletedFuture.java","16191","0"
"mb.p_raffrayi.impl.AbstractUnit$1.externalEnv(ScopePath, IQuery, ICancel) AbstractUnit.java","16033","4"
