"Method","Time (ms)","Own Time (ms)"
"java.util.concurrent.ForkJoinWorkerThread.run() ForkJoinWorkerThread.java","154727","75"
"mb.p_raffrayi.actors.impl.WorkStealingScheduler$Task.run() WorkStealingScheduler.java","154652","9"
"mb.p_raffrayi.actors.impl.Actor.run() Actor.java","154642","49"
"mb.p_raffrayi.impl.AbstractUnit$1.externalEnv(ScopePath, IQuery, ICancel) AbstractUnit.java","103220","26"
"mb.scopegraph.ecoop21.NameResolution.env(ScopePath, LabelWf, ICancel) NameResolution.java","102764","95"
"mb.p_raffrayi.nameresolution.NameResolutionQuery.resolve(IResolutionContext, ScopePath, ICancel) NameResolutionQuery.java","102717","0"
"mb.scopegraph.ecoop21.NameResolution.env_L(ScopePath, LabelWf, Set$Immutable, ICancel) NameResolution.java","101279","924"
"mb.scopegraph.ecoop21.NameResolution.env_lL(ScopePath, LabelWf, EdgeOrData, Set$Immutable, ICancel) NameResolution.java","99052","66"
"mb.scopegraph.ecoop21.NameResolution.lambda$4(ICancel, ScopePath, LabelWf, Set$Immutable, EdgeOrData, Tuple2) NameResolution.java","95246","0"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$947.apply(Object)","95246","0"
"org.metaborg.util.future.CompletedFuture.thenCompose(CheckedFunction1) CompletedFuture.java","95003","69"
"mb.scopegraph.ecoop21.NameResolution.lambda$5(Tuple2, ICancel, ScopePath, LabelWf, Set$Immutable, EdgeOrData, Boolean) NameResolution.java","94560","2"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$950.apply(Object)","94560","0"
"mb.scopegraph.ecoop21.NameResolution.env_l(ScopePath, LabelWf, EdgeOrData, ICancel) NameResolution.java","94221","9"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$963.apply(Object)","92319","43"
"mb.scopegraph.ecoop21.NameResolution.lambda$14(ScopePath, Object, LabelWf, ICancel, LabelWf, Iterable) NameResolution.java","92313","120"
"mb.scopegraph.oopsla20.reference.EdgeOrData$Edge.match(Function0, Function1) EdgeOrData.java","92202","0"
"mb.scopegraph.ecoop21.NameResolution.env_edges(ScopePath, LabelWf, Object, ICancel) NameResolution.java","91982","20"
"mb.scopegraph.ecoop21.NameResolution.lambda$10(ScopePath, LabelWf, ICancel, Object) NameResolution.java","91982","0"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$956.apply(Object)","91982","0"
"mb.p_raffrayi.nameresolution.NameResolutionQuery$1.externalEnv(ScopePath, LabelWf, LabelOrder, ICancel) NameResolutionQuery.java","90848","36"
"org.metaborg.util.future.CompletableFuture.complete(Object, Throwable) CompletableFuture.java","85213","472"
"org.metaborg.util.future.CompletableFuture$2.handle(Object, Throwable) CompletableFuture.java","85163","110"
"org.metaborg.util.future.ICompletable.complete(Object) ICompletable.java","84972","0"
"org.metaborg.util.future.CompletableFuture$6.handle(Object, Throwable) CompletableFuture.java","83569","54"
"org.metaborg.util.future.CompletableFuture$4.handle(Object, Throwable) CompletableFuture.java","81994","84"
"org.metaborg.util.future.CompletedFuture.whenComplete(CheckedAction2) CompletedFuture.java","81368","61"
"org.metaborg.util.future.CompletableFuture$4$$Lambda$687.apply(Object, Object)","80171","2"
"mb.p_raffrayi.actors.impl.Actor.doReturn(IActorInternal, Method, ICompletable, Object, Throwable) Actor.java","78540","26"
"mb.p_raffrayi.actors.impl.Actor.lambda$9(IActorInternal, Method, ICompletable, Object, Throwable) Actor.java","78540","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$1139.dispatch()","78540","0"
